Rank,Name,Neighborhood,Zoning Type,Plot Size,Building Size,Distance to Ocean,Distance to Bay,Max # of Floors,Min # of Floors,Plot Area (m²),Min Building Height (m),Max Building Height (m),Distance to Ocean (m),Distance to Bay (m),tokenId
1926,DZ-308,District ZERO,Residential,Nano,Lowrise,Medium,Far,3,3,1013,15,18,426,1321,74538301279260371493093634178080956419882594833677381746571950759195965673524
1926,DZ-311,District ZERO,Residential,Nano,Lowrise,Medium,Far,6,4,1040,24,30,583,1192,27785443073104948589782628349116956351481498522260542128822126382701013227264
1926,DZ-330,District ZERO,Residential,Nano,Lowrise,Medium,Far,9,7,1024,36,45,534,1187,27860446393203338086264068924553392141150436534199228344598282860785405986781
1926,DZ-332,District ZERO,Residential,Nano,Lowrise,Medium,Far,4,3,1008,16,20,366,1324,10671180751965522411399487263566526371974967676502305838617648191721886615256
1926,DZ-334,District ZERO,Residential,Nano,Lowrise,Medium,Far,4,3,1049,16,20,593,1132,111952084162660313917563256052503200581426418475308931501536678772561786472010
1926,DZ-335,District ZERO,Residential,Nano,Lowrise,Medium,Far,4,3,1068,16,20,365,1314,1576075496571106728951792476784653593694362140361782149758611212717765555145
1926,DZ-337,District ZERO,Residential,Nano,Lowrise,Medium,Far,4,3,1049,16,20,595,1120,28208424811133241429483690970630069506867098608692300859157473900878546122433
1926,DZ-353,District ZERO,Residential,Nano,Lowrise,Medium,Far,4,3,1188,16,20,363,1291,67550710759155746174531468290199111541975431642043454814228096433994366739549
1926,DZ-355,District ZERO,Residential,Nano,Lowrise,Medium,Far,6,5,939,28,34,597,1096,72939750839772955106025970294613791178626379323700450125777909265459223003488
1926,DZ-357,District ZERO,Residential,Nano,Lowrise,Medium,Far,4,3,1173,16,20,364,1280,115771705982182262145849224043390388552782837831596664864119347354336917904334
1926,DZ-458,District ZERO,Residential,Nano,Lowrise,Medium,Far,4,3,1091,16,20,569,705,50046152579111177376860556773052912471221003399656715042832622619350032870595
1926,DZ-460,District ZERO,Residential,Nano,Lowrise,Medium,Far,4,3,1091,17,21,512,755,48757345489107059109443529856276111335330183551083622272361812894743985300222
1926,DZ-461,District ZERO,Residential,Nano,Lowrise,Medium,Far,4,3,977,17,21,494,771,45936093888674683420077350362573160916376104487490471445517790011788447714776
1926,DZ-472,District ZERO,Residential,Nano,Lowrise,Medium,Far,4,3,1052,16,20,597,660,28194788770657138856322483572822433611297045408045597559749115035171289562750
1926,DZ-473,District ZERO,Residential,Nano,Lowrise,Medium,Far,4,3,1086,16,20,578,677,74933037661786568750314987162929524178752975988668507724684319523424797279582
1926,DZ-474,District ZERO,Residential,Nano,Lowrise,Medium,Far,4,3,1082,16,20,559,694,35855316255506101720495064304905764108789771895601495686499372191261877747349
1926,DZ-485,District ZERO,Residential,Nano,Lowrise,Medium,Far,8,6,1091,33,41,597,634,44947660637209631027685897216294945087026755788594971153012566287750868028390
1926,DZ-486,District ZERO,Residential,Nano,Lowrise,Medium,Far,6,5,1091,27,33,578,651,14112118925777432560723110727964868700208478342760460628386027475886763105343
1926,DZ-487,District ZERO,Residential,Nano,Lowrise,Medium,Far,4,3,1091,19,23,542,685,93997810643421327910802415732008089421115631575972150186441922732783528756341
1926,DZ-498,District ZERO,Residential,Nano,Lowrise,Medium,Far,5,4,1079,21,26,574,643,28466472202440303820043780883632439469074583202271224150796400379383680143361
1926,DZ-499,District ZERO,Residential,Nano,Lowrise,Medium,Far,4,3,1075,19,23,556,661,8079337851432787695796592683997857662802888673109083706035102430330477407471
1926,DZ-513,District ZERO,Residential,Nano,Lowrise,Medium,Far,9,7,1024,36,45,571,618,3717055149455443370533820129839773870693047958818356553850265177685370751048
1926,DZ-514,District ZERO,Residential,Nano,Lowrise,Medium,Far,4,3,954,16,20,475,702,31771318188047696816316834697825815069146321431842808264273501117235106975245
1926,DZ-515,District ZERO,Residential,Nano,Lowrise,Medium,Far,4,3,981,16,20,418,753,63313027519783490594444402352077089127254302931029220651688955506629522867333
1926,DZ-521,District ZERO,Residential,Nano,Lowrise,Medium,Far,4,3,954,17,21,480,691,87414285201683314656961236892399377065107244459116996864345876397581730100481
1926,DZ-526,District ZERO,Residential,Nano,Lowrise,Medium,Far,5,4,983,23,28,427,734,91421798627736461045811565682230458771812561106273647218338004346782658902871
1926,DZ-534,District ZERO,Residential,Nano,Lowrise,Medium,Far,4,3,882,17,21,430,717,64926888957920367317080292023033239897015579682748868080766814029874687063171
1926,DZ-535,District ZERO,Residential,Nano,Lowrise,Medium,Far,7,5,877,29,36,435,692,14519421843563186462234980761735778587549243907744946857018672980247036211403
1926,DZ-543,District ZERO,Residential,Nano,Lowrise,Medium,Far,5,4,954,21,26,496,630,32539740870612359272115096315227217129361015908479449832761174886703607372723
1926,DZ-546,District ZERO,Residential,Nano,Lowrise,Medium,Far,4,3,793,16,20,354,757,23798543845426174657876205417083178675047642806154160732422205531535229955087
1926,DZ-550,District ZERO,Residential,Nano,Lowrise,Medium,Far,4,3,983,16,20,434,674,2257502395042874357466014661743455169886753844984918632642652346599348601939
1926,DZ-551,District ZERO,Residential,Nano,Lowrise,Medium,Far,4,4,794,20,24,353,752,42003181000664944708947782729869086062505058271424348319917667711394643641163
1926,DZ-556,District ZERO,Residential,Nano,Lowrise,Medium,Far,4,3,954,16,20,494,611,57835914639625176890519539169909166522684840408212531547127105815912574525513
1926,DZ-557,District ZERO,Residential,Nano,Lowrise,Medium,Far,4,3,984,16,20,434,669,83903081179802667078247747372683674479817637047965648349101668953844992187748
1926,DZ-558,District ZERO,Residential,Nano,Lowrise,Medium,Far,4,4,738,20,24,312,788,27639289934453564623482330324897060350396457077648509057132037350959170565470
1926,DZ-560,District ZERO,Residential,Nano,Lowrise,Medium,Far,7,6,907,32,39,435,665,59080987949984433196334326555592201448196395296123315862571308321619063539777
1926,DZ-561,District ZERO,Residential,Nano,Lowrise,Medium,Far,6,5,756,25,31,354,743,93484602029717176033075095892073363431800703518742224115112829763678680681954
1926,DZ-570,District ZERO,Residential,Nano,Lowrise,Medium,Far,4,3,1091,18,22,456,631,61201556394885987231411801200938698059622581052170521618837948763611960543362
1926,DZ-571,District ZERO,Residential,Nano,Lowrise,Medium,Far,9,7,1060,36,45,418,668,109072827753935995105247853068685902189423856212322451839424208523059341347432
1926,DZ-572,District ZERO,Residential,Nano,Lowrise,Medium,Far,4,3,832,18,22,355,730,4061835470002176554891641999324975640440957926135945523410481602681002034723
1926,DZ-573,District ZERO,Residential,Nano,Lowrise,Medium,Far,5,4,797,23,28,313,771,11527929999341782816294565756492024219223799279894113071732795793086908823658
1926,DZ-577,District ZERO,Residential,Nano,Lowrise,Medium,Far,10,8,783,40,50,320,760,7649812879488220345266107462282643891519174160950302617138221216550860892885
1926,DZ-585,District ZERO,Residential,Nano,Lowrise,Medium,Far,4,3,834,18,22,362,714,53001100656234683649506252164485775261324384527796121447478270134271053631056
1982,HH-289,Haven Heights,Commercial,Nano,Lowrise,Medium,Far,4,3,1193,16,20,348,1270,49435840451591141654720498952210719357092546222957039031083817702012299805659
1982,HH-335,Haven Heights,Commercial,Nano,Lowrise,Medium,Far,4,3,855,16,20,515,1227,18175807893239928019588068254314736997673110831958732443595056852804437598295
1982,HH-362,Haven Heights,Commercial,Nano,Lowrise,Medium,Far,4,3,979,16,20,570,1208,22242153888690337820277753461069379466063326329064674680397162179664549122606
1982,HH-363,Haven Heights,Commercial,Nano,Lowrise,Medium,Far,4,3,954,18,22,511,1241,20271331001544593230279461607079659808637775679484623594559409652571461104534
1982,HH-382,Haven Heights,Commercial,Nano,Lowrise,Medium,Far,5,4,954,23,28,503,1273,98634948629230359757383227601743894073552918709082429068230460336822697360625
1982,HH-383,Haven Heights,Commercial,Nano,Lowrise,Medium,Far,4,3,745,16,20,352,1366,59081514162518168231689703293887808421538692518047786915566948778471392068276
1982,HH-444,Haven Heights,Commercial,Nano,Lowrise,Medium,Far,5,4,1049,21,26,537,1333,27744388973044862277017434270318723959569573845286419798058704910670131976523
1982,HH-453,Haven Heights,Commercial,Nano,Lowrise,Medium,Far,4,3,1049,16,20,531,1349,34037502788525131082085530043052930124410147379482286421946020757011978342582
1982,HH-466,Haven Heights,Commercial,Nano,Lowrise,Medium,Far,4,3,1049,16,20,526,1366,71611755826441235396477276202396732730163748221029458138069445213118362842647
1982,HH-601,Haven Heights,Commercial,Nano,Lowrise,Medium,Far,4,3,1043,18,22,390,1649,78721234561919068646572444538175260051129644570635033955438324740471866815834
1982,HH-652,Haven Heights,Commercial,Nano,Lowrise,Medium,Far,4,3,629,16,20,370,1398,6448969800003540677729679259772534107362825337812821672590310849725585665346
1982,HH-874,Haven Heights,Commercial,Nano,Lowrise,Medium,Far,4,3,776,16,20,354,699,92652600082198679684629914814912808984152519247488128532364415843582294862880
1994,TG-80,Tranquility Gardens,Residential,Micro,Lowrise,Far,Close,4,3,1673,17,21,4802,140,22975161681172655740787952600992346926541979441626103032643293168718476203259
1994,TG-85,Tranquility Gardens,Residential,Micro,Lowrise,Far,Close,5,4,1683,22,27,4805,161,68305266454695993278451560892013935557505626557378810404386148781360558959294
1994,TG-86,Tranquility Gardens,Residential,Micro,Lowrise,Far,Close,6,5,1739,26,32,4727,200,78988715744837545790701281101127916887829753222579044318145677208643376646930
1994,TG-87,Tranquility Gardens,Residential,Micro,Lowrise,Far,Close,5,4,1228,22,27,4627,276,88417952931610466423389081282740574967909779041842715849688844982370013981731
1994,TG-92,Tranquility Gardens,Residential,Micro,Lowrise,Far,Close,6,5,1692,28,34,4807,183,109417072593524146686450936773328655879889800520553102738737551864819144644386
1994,TG-93,Tranquility Gardens,Residential,Micro,Lowrise,Far,Close,4,3,1741,16,20,4729,218,5376464342590464622868658476026656210421513149301092687216149715582913109074
1994,TG-94,Tranquility Gardens,Residential,Micro,Lowrise,Far,Close,4,3,1228,16,20,4629,289,111493341091565275999858548369978124493189701127553781119998037274225192520100
1994,TG-98,Tranquility Gardens,Residential,Micro,Lowrise,Far,Close,6,5,1638,27,33,4809,204,107934650396885342983386228855356657026468293875149482636823540603385704509723
1994,TG-99,Tranquility Gardens,Residential,Micro,Lowrise,Far,Close,4,3,1630,19,23,4731,236,92335092823134259711959888480477432411879894873279362185349524762227051143388
1994,TG-106,Tranquility Gardens,Residential,Micro,Lowrise,Far,Close,4,4,1380,20,24,4761,290,2790852985723739217850197689989474445945994761587472350886169518297327812924
1994,TG-107,Tranquility Gardens,Residential,Micro,Lowrise,Far,Close,6,5,1381,27,33,4737,300,20697708394520705330509911253024633664681464138306071844303443688038254251784
1994,TG-122,Tranquility Gardens,Residential,Micro,Lowrise,Far,Close,4,4,1348,20,24,4768,253,114185876518683902482359532079509275922000847093814322480955694355365263103949
1994,TG-123,Tranquility Gardens,Residential,Micro,Lowrise,Far,Close,7,5,1327,28,35,4719,275,19412466660662664372946187679935985859434124429620743480980808977711250652024
1994,TG-134,Tranquility Gardens,Residential,Micro,Lowrise,Far,Close,5,4,1910,21,26,4631,276,46724048566459341527392358588801193982216717379848278687470602476965738555411
1994,TG-137,Tranquility Gardens,Residential,Micro,Lowrise,Far,Close,10,8,1906,43,53,4741,185,61892686798738788322560289598025574521937715323608547031437098012832446573936
1994,TG-138,Tranquility Gardens,Residential,Micro,Lowrise,Far,Close,5,4,2131,21,26,4633,266,99153691602096196346078089306144070386720176493686969252592358490381791089679
1994,TG-150,Tranquility Gardens,Residential,Micro,Lowrise,Far,Close,4,3,1748,16,20,4739,173,1801402543328362821065890932130020564537412164761602265241961281079501194513
1994,TG-151,Tranquility Gardens,Residential,Micro,Lowrise,Far,Close,4,3,2131,16,20,4636,256,37810748185414566595004444665920220657116503162913286040976937002089195095834
1994,TG-154,Tranquility Gardens,Residential,Micro,Lowrise,Far,Close,6,5,1590,26,32,4738,163,30813100922269188662597292856759351138115536065685414590956586964739065193650
1994,TG-170,Tranquility Gardens,Residential,Micro,Lowrise,Far,Close,4,3,1228,16,20,4735,148,71492997700139372249921486504820395806320273218702964082176057816984931803247
1994,TG-258,Tranquility Gardens,Residential,Micro,Lowrise,Far,Close,4,3,1751,19,23,4653,256,6416912875720037900791517853124181231351374133696319404452368049888870910529
1994,TG-298,Tranquility Gardens,Residential,Micro,Lowrise,Far,Close,4,3,2068,16,20,4659,300,4632744683828680830427900842230040804909566988931050120501868974169013142282
1994,TG-592,Tranquility Gardens,Residential,Micro,Lowrise,Far,Close,4,3,2010,18,22,2456,290,59737936785579339245934904737072446357333316070090779498510330778128562314694
1994,TG-593,Tranquility Gardens,Residential,Micro,Lowrise,Far,Close,4,3,2025,16,20,2412,289,86705864862567054421748626195156510161286429152817727286279005641592577076477
1994,TG-603,Tranquility Gardens,Residential,Micro,Lowrise,Far,Close,4,3,1205,16,20,2032,277,79910811541353716015198408804586879199700988418333560975489826813248799410489
1994,TG-604,Tranquility Gardens,Residential,Micro,Lowrise,Far,Close,4,4,1205,20,24,2017,275,62040919301543030927294026682732591226951007752048729782008830733709684640522
1994,TG-605,Tranquility Gardens,Residential,Micro,Lowrise,Far,Close,4,4,1205,20,24,2003,273,97895176219556519350927012358495524763065287807651294261920380496805931788376
1994,TG-608,Tranquility Gardens,Residential,Micro,Lowrise,Far,Close,4,3,2062,16,20,2708,288,87285845244442884542011709299358089363876390259697480616503180950190995065656
1994,TG-612,Tranquility Gardens,Residential,Micro,Lowrise,Far,Close,4,3,2126,19,23,2433,254,63213237383630396989598507600250711537134767776998486417485640296680590423744
1994,TG-613,Tranquility Gardens,Residential,Micro,Lowrise,Far,Close,4,3,2139,16,20,2388,253,46021996118326219539700605482238123319245067312908122736566726379563872511316
1994,TG-618,Tranquility Gardens,Residential,Micro,Lowrise,Far,Close,4,3,2129,16,20,2409,217,58828496512673672472081691739122009227000176138938925127543719100418050308245
1994,TG-619,Tranquility Gardens,Residential,Micro,Lowrise,Far,Close,4,3,2141,16,20,2364,216,95119825590432929444791368053168985952627217008459662316946845936688227848476
1994,TG-626,Tranquility Gardens,Residential,Micro,Lowrise,Far,Close,4,4,1438,20,24,2001,223,60169119336410814329446552615643009692493940166962095390498031314118918499280
1994,TG-628,Tranquility Gardens,Residential,Micro,Lowrise,Far,Close,4,3,1223,16,20,1970,216,90086774813111468053304313472459936455643745696852961978579826799003320544702
1994,TG-629,Tranquility Gardens,Residential,Micro,Lowrise,Far,Close,4,3,1218,17,21,1955,214,52402766916230887942312627054307751406847145479709199955629500770520270553425
1994,TG-631,Tranquility Gardens,Residential,Micro,Lowrise,Far,Close,4,3,1371,16,20,2653,229,109808730269227983763417155277039692338961619279418039071403576800034066351166
1994,TG-634,Tranquility Gardens,Residential,Micro,Lowrise,Far,Close,4,3,2132,17,21,2385,181,72400927724663164257457482088800031646659652794168864314739410647307762399401
1994,TG-635,Tranquility Gardens,Residential,Micro,Lowrise,Far,Close,4,3,2142,16,20,2340,180,105613678804079438682100725006394265174138262473204020910564522094912251991865
1994,TG-640,Tranquility Gardens,Residential,Micro,Lowrise,Far,Close,7,6,2143,30,37,2316,143,87582880169802110301011038639040417683898782298605498486852825510327731222236
2033,SM-16,Space Mind,Commercial,Nano,Lowrise,Far,Medium,10,8,1122,41,51,2054,425,10266584474972507219095438324446123867403554502300960589748386343135682800067
2033,SM-19,Space Mind,Commercial,Nano,Lowrise,Far,Medium,6,5,1142,26,32,1996,484,9265987169225403985793748582576311948857691613221273906335231779929202135290
2033,SM-250,Space Mind,Commercial,Nano,Lowrise,Far,Medium,3,3,918,15,18,1431,424,111702079863114889049420579134608640266903245992417388415167447794440333337849
2033,SM-358,Space Mind,Commercial,Nano,Lowrise,Far,Medium,4,3,947,19,23,1920,316,104663319869523529509793415257019459683255182693773484412795154913375444769146
2033,SM-360,Space Mind,Commercial,Nano,Lowrise,Far,Medium,5,4,866,22,27,1630,333,7504541947054079462220931470268785829835141064649673752404971663422039582376
2033,SM-380,Space Mind,Commercial,Nano,Lowrise,Far,Medium,4,3,510,16,20,1941,302,33488543455873488941011284077184440100443520448193910100409923958955650707245
2033,SM-385,Space Mind,Commercial,Nano,Lowrise,Far,Medium,6,5,629,26,32,1934,302,24869892832126890487069645360812986968781896198728317327083675503304536169206
2033,SM-392,Space Mind,Commercial,Nano,Lowrise,Far,Medium,4,3,924,16,20,1580,375,46855536688599282545665835468364661509641616751657429589542269980025630834237
2033,SM-419,Space Mind,Commercial,Nano,Lowrise,Far,Medium,4,3,988,18,22,1850,345,44429985951584392116486346276166725660030217362142606924704104115364960480081
2033,SM-444,Space Mind,Commercial,Nano,Lowrise,Far,Medium,7,5,657,28,35,1477,466,90183782219705897853703885392522967634182934278982139505827565633616325990950
2033,SM-479,Space Mind,Commercial,Nano,Lowrise,Far,Medium,4,3,990,16,20,1564,385,83436516267349731859649083518881787485704506015461124357622599340065245229926
2033,SM-480,Space Mind,Commercial,Nano,Lowrise,Far,Medium,6,5,1014,28,34,1516,426,11375732809510093346438933162899260326566121481644206168943270448607807602740
2033,SM-507,Space Mind,Commercial,Nano,Lowrise,Far,Medium,4,3,733,16,20,1407,432,44337298391349471276448324544414786873148631639459001114483743949714221051865
2033,SM-512,Space Mind,Commercial,Nano,Lowrise,Far,Medium,4,3,944,17,21,1467,360,83917306828262919001199754327563020969320251956558543240270189949906234185675
2033,SM-524,Space Mind,Commercial,Nano,Lowrise,Far,Medium,4,4,968,20,24,1364,361,10374651924347399890905237076676059889582040145539338838980343457786745614829
2033,SM-545,Space Mind,Commercial,Nano,Lowrise,Far,Medium,5,4,588,21,26,1310,342,36239907130883734317358701891026896378553677219325399986522601588034496007485
2049,NS-54,North Star,Residential,Micro,Lowrise,Medium,Medium,4,3,2010,16,20,574,306,3334204019097720510336355421835609881311472022199071937672710421858433231760
2049,NS-55,North Star,Residential,Micro,Lowrise,Medium,Medium,4,3,1897,18,22,551,337,108972766773354942028086482250088723641023381531151986793915686068451258653585
2049,NS-72,North Star,Residential,Micro,Lowrise,Medium,Medium,8,6,1621,34,42,588,386,39870866732017414922307122993009734034734251555731064166576805977102128080221
2049,NS-88,North Star,Residential,Micro,Lowrise,Medium,Medium,4,3,1590,17,21,593,402,15401566473779282540578180467961453097062693207712692413829348194801656502741
2053,SM-38,Space Mind,Commercial,Micro,Lowrise,Far,Far,4,3,2130,16,20,1084,1007,93754206622315562335406854639325626582254556073455943923334194243350316024088
2053,SM-50,Space Mind,Commercial,Micro,Lowrise,Far,Far,5,4,2073,23,28,981,1106,827772171385091877283884423402211407922062305610320694945524550979093485254
2053,SM-53,Space Mind,Commercial,Micro,Lowrise,Far,Far,4,4,2232,20,24,1099,1091,84335628062073701613043636344229510964346990877587469409754199798783775679944
2053,SM-64,Space Mind,Commercial,Micro,Lowrise,Far,Far,9,7,1495,38,47,1466,991,110048844142401833250351737201926249913825519940376981360006351859853246857478
2053,SM-65,Space Mind,Commercial,Micro,Lowrise,Far,Far,4,3,1488,17,21,1437,996,47612314079431759764465228049976155621162504158445738353753982121533700556483
2053,SM-67,Space Mind,Commercial,Micro,Lowrise,Far,Far,4,3,2232,16,20,1090,1129,7080047964599492256133871631502556335724936109790207330454429250760262009247
2053,SM-74,Space Mind,Commercial,Micro,Lowrise,Far,Far,4,4,1373,20,24,1544,927,8153478785900759179169471872293860913824752366627700636754528015920049469839
2053,SM-76,Space Mind,Commercial,Micro,Lowrise,Far,Far,4,3,1473,16,20,1486,964,61450603573556609853891474519908587073927140250975836519226635906391817058271
2053,SM-79,Space Mind,Commercial,Micro,Lowrise,Far,Far,7,6,2128,31,38,1082,1167,78329265925339404239857322752242945400695776790726406979960398303663693865506
2053,SM-130,Space Mind,Commercial,Micro,Lowrise,Far,Far,4,3,1272,16,20,1193,907,69631411537235148978458111104600426615952148404496000394152427192704419398248
2053,SM-137,Space Mind,Commercial,Micro,Lowrise,Far,Far,4,3,1320,16,20,1190,898,45336663091054309577417971823868154240386203990254493620283585252555329674875
2053,SM-202,Space Mind,Commercial,Micro,Lowrise,Far,Far,4,3,1663,17,21,1030,923,87699229665242930466342873260915239473218235631181729356436362345274620187143
2053,SM-206,Space Mind,Commercial,Micro,Lowrise,Far,Far,4,3,1892,16,20,996,945,104191836048582048813403987144165401279246533239286088000734063805377909509521
2053,SM-218,Space Mind,Commercial,Micro,Lowrise,Far,Far,4,3,1783,17,21,793,1144,10813427488917314454352529291240727688659171184426970152241504912227464799102
2053,SM-301,Space Mind,Commercial,Micro,Lowrise,Far,Far,5,4,2016,21,26,978,863,56416528020254159021725639313914454943970926955792708149077424136048153027882
2053,SM-357,Space Mind,Commercial,Micro,Lowrise,Far,Far,4,3,1359,17,21,758,1081,94620160513938205315742312967104136501120537252921468792890127796494737973861
2053,SM-409,Space Mind,Commercial,Micro,Lowrise,Far,Far,6,5,1547,25,31,659,1183,99377005572931937412253639490191655481894337918528632214859334875735983769393
2053,SM-413,Space Mind,Commercial,Micro,Lowrise,Far,Far,4,3,1599,17,21,688,1157,64134881033762034411592766058804171504008098846663945469540495123472619520819
2053,SM-431,Space Mind,Commercial,Micro,Lowrise,Far,Far,3,3,1449,15,18,986,670,49552098323037847322244090832077078722960703883378319148565347877897649270091
2072,HH-843,Haven Heights,Residential,Micro,Lowrise,Medium,Medium,4,4,1975,20,24,448,599,12395241890300275941812735294738376064391457988555609858947092615522820164255
2073,SM-229,Space Mind,Residential,Nano,Lowrise,Far,Close,4,3,1095,19,23,1599,264,34790986943007900115303571060951785860059094300691731281033809580661718605256
2073,SM-230,Space Mind,Residential,Nano,Lowrise,Far,Close,4,3,715,17,21,1612,207,70444401544818067693908011118665622713131683694217696292357793456231944540979
2073,SM-231,Space Mind,Residential,Nano,Lowrise,Far,Close,4,3,697,16,20,1584,263,75614074216491491545037113407695476596076916868057530525831102317446427297780
2073,SM-235,Space Mind,Residential,Nano,Lowrise,Far,Close,4,3,713,16,20,1600,206,7259921473545825892688325377589817928757401959194408621440176078680773979660
2073,SM-236,Space Mind,Residential,Nano,Lowrise,Far,Close,4,4,697,20,24,1572,263,11411046345428966109877706888985236749541770854733026540271299041128031899430
2073,SM-241,Space Mind,Residential,Nano,Lowrise,Far,Close,4,3,712,19,23,1589,207,69715483172611934516572892976489961535744590728240542354976192188171786690026
2073,SM-242,Space Mind,Residential,Nano,Lowrise,Far,Close,4,3,697,17,21,1561,263,97949047770662309399007694171405133642628071101284119567968712435466612198223
2073,SM-247,Space Mind,Residential,Nano,Lowrise,Far,Close,4,3,668,19,23,1578,209,102787185106751291044705523916166754843301406195859118662865993344101160643512
2073,SM-248,Space Mind,Residential,Nano,Lowrise,Far,Close,4,3,619,17,21,1550,264,31601465560136037401031001108760516584950749666062247043236396395212356025821
2073,SM-389,Space Mind,Residential,Nano,Lowrise,Far,Close,5,4,749,21,26,1926,299,18163399812095369702489614897754056868269847465531980222655952485547729758249
2073,SM-418,Space Mind,Residential,Nano,Lowrise,Far,Close,4,4,938,20,24,1894,293,58573778475865003749482754232740188995314716427399477101369783861924149807453
2073,SM-426,Space Mind,Residential,Nano,Lowrise,Far,Close,6,4,907,24,30,1883,296,94781666321147132811475003051614913353174630083281149252014931368917792151505
2073,SM-442,Space Mind,Residential,Nano,Lowrise,Far,Close,5,4,846,23,28,1871,295,92359551343454574171610931254062878271940498360481330324331318666221686239626
2073,SM-457,Space Mind,Residential,Nano,Lowrise,Far,Close,4,3,723,18,22,1849,272,62756143959638676484137973944373023196917230571263273814061341016117469767739
2073,SM-458,Space Mind,Residential,Nano,Lowrise,Far,Close,4,3,1026,16,20,1809,298,52023891189839104972760491220703081670622275728876467335055225061120416608879
2073,SM-472,Space Mind,Residential,Nano,Lowrise,Far,Close,4,4,632,20,24,1838,257,57108461656207131792146236521974795024313624841487478919677478226772732377084
2073,SM-526,Space Mind,Residential,Nano,Lowrise,Far,Close,4,4,908,20,24,1623,141,72550172935023547560500387271078186808243944434356896786235977125702121926102
2090,DZ-9,District ZERO,Commercial,Nano,Lowrise,Far,Medium,4,3,1094,17,21,1200,361,28525509513524512581926753225437962970243857184915408906366777143061976495503
2090,DZ-11,District ZERO,Commercial,Nano,Lowrise,Far,Medium,4,3,1091,16,20,1240,352,49314960346121109129554611077168531734035352118115521121973664225171248259789
2090,DZ-93,District ZERO,Commercial,Nano,Lowrise,Far,Medium,3,3,1056,15,18,1561,475,4080026293377386929211012783248185523560143456062256341613498993148010050342
2090,DZ-345,District ZERO,Commercial,Nano,Lowrise,Far,Medium,4,3,954,16,20,1308,600,31652931819202814589206479136371219281162930248387864046146065146738879280325
2090,DZ-373,District ZERO,Commercial,Nano,Lowrise,Far,Medium,4,3,1049,16,20,1357,486,43333980071320370920258135822897197795113206337544269542830238181582050590917
2090,DZ-389,District ZERO,Commercial,Nano,Lowrise,Far,Medium,4,3,998,16,20,1364,446,98416683317788378124346498958026665198680197982216441547703305571245218840896
2090,DZ-454,District ZERO,Commercial,Nano,Lowrise,Far,Medium,4,3,1062,18,22,717,584,6961899646910377049711893111228129416810773441999264849950662203718061593942
2090,DZ-455,District ZERO,Commercial,Nano,Lowrise,Far,Medium,5,4,1062,24,29,698,599,65759670442436870225790885057480783983000476948654803985078578498540807327410
2090,DZ-470,District ZERO,Commercial,Nano,Lowrise,Far,Medium,5,4,1026,22,27,746,530,11613571338212782082694514604698863575764133295323912768129571295273852245800
2090,DZ-489,District ZERO,Commercial,Nano,Lowrise,Far,Medium,11,9,1094,47,58,834,412,92386791278590704765398137390908533836482157669488781009850854173795516221303
2090,DZ-494,District ZERO,Commercial,Nano,Lowrise,Far,Medium,4,3,1097,16,20,844,395,37008210656589514873977488027618196187812349227610810379537584457447191301703
2090,DZ-509,District ZERO,Commercial,Nano,Lowrise,Far,Medium,4,3,1056,18,22,794,416,77221315625772884999349659290382049650796483509905749401866928702297729623155
2090,DZ-512,District ZERO,Commercial,Nano,Lowrise,Far,Medium,4,3,1061,16,20,696,506,104178538366051741743174569861592222897028688253374670902655705471209501659424
2090,DZ-519,District ZERO,Commercial,Nano,Lowrise,Far,Medium,4,3,1049,19,23,630,559,35101213483782313549646491591382723381387012342002287238341117261491809236522
2090,DZ-524,District ZERO,Commercial,Nano,Lowrise,Far,Medium,5,4,1053,22,27,870,336,24524414231524698796443441289608651021783723826194488152912455228225467080138
2090,DZ-529,District ZERO,Commercial,Nano,Lowrise,Far,Medium,4,3,1065,19,23,746,444,77943219808644478061011446526475504929191302099739630061578423108146332859205
2090,DZ-541,District ZERO,Commercial,Nano,Lowrise,Far,Medium,4,3,1024,16,20,631,506,80312281261673705354290901385423901952194301045215330562390288751934077733733
2090,DZ-575,District ZERO,Commercial,Nano,Lowrise,Far,Medium,4,3,1138,16,20,741,347,102321191821246704778749783633557145604160845368697178470323786844411057363117
2090,DZ-595,District ZERO,Commercial,Nano,Lowrise,Far,Medium,4,3,990,16,20,658,338,94240961632182554474838720734270091810648301760388840097716299711757664718400
2109,NS-137,North Star,Commercial,Nano,Lowrise,Far,Close,4,3,991,18,22,1356,97,45146641250221953251674083918081178618827616504344423744166438486319562073441
2109,NS-140,North Star,Commercial,Nano,Lowrise,Far,Close,5,4,943,24,29,1263,172,9394078046555209696699473824420303792071034162865585827826526105709051821083
2109,NS-154,North Star,Commercial,Nano,Lowrise,Far,Close,5,4,964,21,26,1266,202,452215580515069464138601248951950994348636723115793461249862135540644949495
2109,NS-155,North Star,Commercial,Nano,Lowrise,Far,Close,4,3,1168,18,22,1224,211,54617259516531672056299332652184916394683719987425450172148947924995660927534
2109,NS-298,North Star,Commercial,Nano,Lowrise,Far,Close,4,3,1052,19,23,1855,262,83637799437695003135137754049734998888564179001265449837314223754044023120395
2109,NS-299,North Star,Commercial,Nano,Lowrise,Far,Close,4,3,1028,19,23,1817,290,88430184129256105294384719981508545527914070428128176465387959804446438036671
